id,title,body,category,priority
32,CRITICO: serve richiesta di anticipo spese del dipendente con massima urgenza,"Salve, è un blocco totale, serve approvare la richiesta di anticipo spese del dipendente immediatamente. Potete farmi sapere le tempistiche? non riusciamo a lavorare.",Amministrazione,Alta
33,Assistenza per scadenza del pagamento del fornitore,"ciao, come posso procedere per verificare la scadenza del pagamento del fornitore? vi invio questa mail per un aggiornamento.",Amministrazione,Bassa
34,Domanda: come mouse guasto alla postazione 5?,"Per favore, potete aiutarmi a sostituire il mouse guasto alla postazione 5? Grazie per il vostro supporto continuo.",Tecnico,Bassa
35,Blocco totale: disdire l'abbonamento come richiesto dal cliente chiave,"Scusate il disturbo, è un'emergenza, dobbiamo disdire l'abbonamento come richiesto dal cliente chiave ora. Vi auguro una buona giornata.",Commerciale,Media
36,Allarme: trattativa bloccata dall'errore di sistema,"Salve, è una situazione bloccante, per favore fate in modo di chiudere la trattativa bloccata dall'errore di sistema con urgenza. Grazie per la vostra attenzione. il pagamento risulta bloccato.",Tecnico,Alta
37,Emergenza: mandato di pagamento per il fornitore il prima possibile,"Scusate il disturbo, è una situazione prioritaria, per favore fate in modo di emettere il mandato di pagamento per il fornitoe con urgenza. Resto in attesa di una vostra risposta.",Amministrazione,Media
38,Domanda: come ritenuta d'acconto?,"Team, potete aiutarmi a calcolare la ritenuta d'acconto? Grazie in anticipo per l'aiuto.",Amministrazione,Bassa
39,Assistenza per scadenza del pagamento del fornitore,"Salve, vi scrivo per chiedere di verificare la scadenza del pagamento del fornitore. Per qualsiasi domanda, non esitate a contattarmi.",Amministrazione,Bassa
40,URGENTE: riavviare il server principale,"Scusate il disturbo, è assolutamente seria riavviare il server principale il prima possibile. Fatemi sapere se avete bisogno di altro. non riusciamo a lavorare.",Tecnico,Alta
41,Domanda: come fattura del fornitore?,"Scusate il disturbo, vi contatto per registrare la fattura del fornitore. Potete farmi sapere le tempistiche? impatta il flusso del team.",Amministrazione,Media
42,Info su come preventivo urgente aggirando il blocco VPN,Avrei una richiesta: mi serve inviare il preventivo urgente aggirando il blocco VPN. Vi prego di darci priorità se possibile.,Commerciale,Alta
43,Necessità di nuova stampante multifunzione,Ho bisogno di supporto per mappare la nuova stampante multifunzione. Resto a disposizione per ulteriori chiarimenti.,Tecnico,Bassa
44,Info su come sollecitare il pagamento del cliente insoluto,"Scusate il disturbo, come posso procedere per sollecitare il pagamento del cliente insoluto? Vi ringrazio per la collaborazione.",Amministrazione,Bassa
45,Domanda: come scheda di rete guasta alla postazione 3?,"Gentile supporto, avrei bisogno di sostituire la scheda di rete guasta alla postazione 3 quando avete un attimo. Spero si possa risolvere in fretta.",Tecnico,Bassa
46,Necessità di nuova stampante multifunzione,"Salve, potete darmi indicazioni su come mappare la nuova stampante multifunzione? Grazie in anticipo per l'aiuto.",Tecnico,Bassa
47,domanda: come registrare l'incasso del contratto chiuso ieri sul portale?,"Team, ci sarebbe da registrare l'incasso del contratto chiuso ieri sul portale per favore. Scrivo per segnalare quanto segue.",Amministrazione,Bassa
48,Necessità di transazione in sospeso,"Scusate il disturbo, avrei una richiesta: mi serve sbloccare la transazione in sospeso. Vi ringrazio per la collaborazione.",Amministrazione,Bassa
49,Supporto per bonifico in entrata,"Per favore, come posso procedere per registrare il bonifico in entrata? Resto a disposizione per ulteriori chiarimenti.",Amministrazione,Bassa
50,Situazine urgente: regolarità contributiva del dipendente,"Ciao a tutti, è assolutamente urgente verificare la regolarità contributiva del dipendente il prima possibile. Potete farmi sapere le tempistiche? il reparto e' bloccato.",Amministrazione,Alta
51,Assistenza per inserire il nuovo lead nel CRM,"Scusate il disturbo, vi scrivo per chiedere di inserire il nuovo lead nel CRM. Vi auguro una buona giornata.",Commerciale,Media
52,Richiesta: nota spese caricata dall'app mobile,"Ciao, ho bisogno di supporto per approvare la nota spese caricata dall'app mobile. Vi prego di darci priorità se possibile.",Amministrazione,Bassa
53,Richiesta: backup del database,"ciao a tutti, vorrei sapere come ripristinare il backup del database. per qualsiasi domanda, non esitate a contattarmi.",Tecnico,Bassa
54,Situazione seria: richiesta di anticipo spese,"Salve, il cliente si lamenta, è seria riuscire a approvare la richiesta di anticipo spese entro oggi. Fatemi sapere se avete bisogno di altro. serve un riscontro in giornata.",Amministrazione,Alta
55,Blocco operativo: licenza del software di gestione clienti,"Team, la situazione è improrogabile, vi chiedo di rinnovare la licenza del software di gestione clienti immediatamente. Potete farmi sapere le tempistiche? non siamo fermi, pero' vorrei chiuderlo presto.",Commerciale,Alta
56,Task: nuova unità di rete,"team, ho bisogno di supporto per mappare la nuova unità di rete. vi prego di darci priorità se possibile.",Commerciale,Bassa
57,Domanda: come nuova campagna di retention clienti?,"Ciao a tutti, potete darmi indicazioni su come pianificare la nuova campagna di retention clienti? Vi invio questa mail per un aggiornamento. impatta il flusso del team.",Commerciale,Media
58,Allarme: software HR per le buste paga,"Gentile supporto, è un blocco totale, serve ripristinare il software HR per le buste paga immediatamente. Vi auguro una buona giornata.",Tecnico,Bassa
59,Blocco totale: software HR per le buste paga,"Ciao a tutti, è un'emergenza, dobbiamo ripristinare il software HR per le buste paga ora. Grazie in anticipo per l'aiuto.",Tecnico,Bassa
60,CRITICO: sere allineare il budget IT con le fatture dei fornitori cloud con massima urgenza,"PER FAVORE, LA SITUAZIONE È SERIA, VI CHIEDO DI ALLINEARE IL BUDGET IT CON LE FATTURE DEI FORNITORI CLOUD IMMEDIATAMENTE. SPERO SI POSSA RISOLVERE IN FRETTA. NON BLOCCA IL LAVORO MA PREFERIREI UNA VERIFICA RAPIDA.",Amministrazione,Alta
61,Necessità di server di posta che non invia le offerte commerciali,"scusate il disturbo, ho bisogno di supporto per sbloccare il server di posta che non invia le offerte commerciali. grazie per la vostra attenzione.",Tecnico,Bassa
62,Blocco totale: listino prezzi per il Q4,"Ciao, il cliente si lamenta, è significativa riuscire a aggiornare il listino prezzi per il Q4 entro oggi. Grazie per la vostra attenzione.",Commerciale,Media
63,Necessità di sincronizzazione dei file,"Scusate il disturbo, vi contatto per risolvere il problema di sincronizzazione dei file. Grazie per la vostra attenzione.",Tecnico,Bassa
64,Blocco operativo: target di fatturato,"Team, è un'emergenza, dobbamo verificare il target di fatturato ora. Scrivo per segnalare quanto segue. rischiamo di andare fuori tempo.",Commerciale,Media
65,Info su come inserire il nuovo lead qualificato nel CRM,"Buongiorno, vorrei chiedervi di inserire il nuovo lead qualificato nel CRM. Spero di ricevere presto notizie da voi.",Commerciale,Bassa
66,URGENTE: trattativa bloccata dall'errore di sistema,"Per favore, vi prego di chiudere la trattativa bloccata dall'errore di sistema immediatamente, la situazione è seria. Grazie in anticipo per l'aiuto. non siamo fermi, pero' vorrei chiuderlo presto.",Commerciale,Alta
67,Situazione importante: disdire l'abbonamento come richiesto dal cliente chiave,"Scusate il disturbo, situazione critica: dobbiamo disdire l'abbonamento come richiesto dal cliente chiave subito. Resto a disposizione per ulteriori chiarimenti. sta rallentando il lavoro.",Commerciale,Alta
68,Task: scaricare il report delle vendite mensili per il bilancio,È necessario scaricare il report delle vendite mensili per il bilancio. Fatemi sapere se avete bisogno di altro.,Amministrazione,Bassa
69,Assistenza per richiesta di anticipo spese del dipendente,"Ciao a tutti, avrei bisogno di approvare la richiesta di anticipo spese del dipendente quando avete un attimo. Spero di ricevere presto notizie da voi.",Amministrazione,Bassa
70,Situazione significativa: sistemare la stampante dell'amministrazione che inceppa i moduli F24,"Scusate il disturbo, è assolutamente significativa sistemare la stampante dell'amministrazione che inceppa i moduli F24 il prima possibile. Resto in attesa di una vostra risposta. rischiamo di andare fuori tempo.",Tecnico,Media
71,Domanda: come listino prezzi per il mese in corso?,Apro questo ticket perché devo aggiornare il listino prezzi per il mese in corso. In allegato trovate i dettagli.,Commerciale,Bassa
72,Supporto per firmare li contratto con il nuovo cliente strategico,"Ciao, vi scrivo per chiedere di firmare il contratto con il nuovo cliente strategico. Grazie per la vostra attenzione.",Commerciale,Bassa
73,Necessità di contabilizzare i rimborsi per i disservizi di rete,"Per favore, ho bisogno di supporto per contabilizzare i rimborsi per i disservizi di rete. Grazie per la vostra attenzione.",Amministrazione,Bassa
74,Richiesta: verificare i log di sistema per errori critici,"Ciao, come posso procedere per verificare i log di sistema per errori critici? Grazie in anticipo per l'aiuto.",Tecnico,Bassa
75,Emergenza: nuova campagna di vendita il prima possibile,"Team, situazione critica: dobbiamo pianificare la nuova campagna di vendita subito. Fatemi sapere se avete bisogno di altro. la produzione e' ferma.",Commerciale,Bassa
76,Richiesta: brochure aggiando il limite di dimensione email,"Ciao a tutti, come posso procedere per inviare la brochure aggirando il limite di dimensione email? Spero di ricevere presto notizie da voi. sta rallentando il lavoro.",Commerciale,Bassa
77,Supporto per target di fatturato per il trimestre in corso,"Team, come posso procedere per verificare il target di fatturato per il trimestre in corso? Resto a disposizione per ulteriori informazioni.",Commerciale,Bassa
78,Assistenza per nuova campagna di vendita,"Scusate il disturbo, vorrie chiedervi di pianificare la nuova campagna di vendita. Potete farmi sapere le tempistiche?",Commerciale,Bassa
79,Supporto per mandato di pagamento per il fornitore,"Ciao, è necessario emettere il mandato di pagamento per il fornitore. Spero di ricevere presto notizie da voi. non siamo fermi, pero' vorrei chiuderlo presto.",Amministrazione,Bassa
80,BLOCCO OPERATIVO: RECUPERARE LA CRONOLOGIA DEL CLIENTE DAL VECCHIO DATABASE VENDITE,"Buonasera, è una situazione catastrofica, per favore fate in modo di recuperare la cronologia del cliente dal vecchio database vendite con urgenza. Potete farmi sapere le tempistiche? il reparto e' bloccato.",Commerciale,Alta
81,Blocco totale: regolarità contributiva dell'azienda,"Buongiorno, la situazione è improrogabile, vi chiedo di verificare la regolarità contributiva dell'azienda immediatamente. Grazie in anticipo per l'aiuto.??",Amministrazione,Alta
82,Richiesta: verificare se la fattura insoluta blocca l'ordine del cliente VIP,"CIAO A TUTTI, VI SCRIVO PER CHIEDERE DI VERIFICARE SE LA FATTURA INSOLUTA BLOCCA L'ORDINE DEL CLIENTE VIP. GRAZIE PER IL VOSTRO SUPPORTO CONTINUO.",Commerciale,Bassa
83,Blocco totale: firmware del router,"Ciao, il cliente si lamenta, è essenziale riuscire a aggiornare il firmware del router entro oggi. Grazie per la vostra attenzione.",Tecnico,Bassa
84,Assistenza per forecast aggiornato al team di vendita,"Team, avrei una richiesta: mi serve inviare il forecast aggiornato al team di vendita. Potete farmi sapere le tempistiche?",Commerciale,Media
85,Blocco operativo: richiesta di rimborso spese,"Ciao, è una situazione vitale, per favore fate in modo di approvare la richiesta di rimborso spese con urgenza. Vi auguro una buona giornata. l'ordine non parte. non siamo fermi, pero' vorrei chiuderlo presto.",Amministrazione,Alta
86,Necessità di sincronizzazione dei file... !!!,"Ciao a tutti, avrei bisogno di risolvere il problema di sicnronizzazione dei file quando avete un attimo. In allegato trovate i dettagli.",Tecnico,Bassa
87,Supporto per nuova stampante multifunzione,Ho bisogno di supporto per mappare la nuova stampante multifunzione. Resto a disposizione per ulteriori informazioni. rischiamo di andare fuori tempo.,Tecnico,Media
88,Task: monitor guasto alla postazione 4,"Salve, è necessario sostituire il monitor guasto alla postazione 4. Vi invio questa mail per un aggiornamento.",Tecnico,Bassa
89,Blocco operativo: patch di sicurezza,"Gentile supporto, siamo fermi. È necessaria poter installare la patch di sicurezza per continuare a lavorare. Attendo un vostro riscontro.",Amministrazione,Media
90,Richiesta: toner della stampante,"Buonasera, vi contatto per sostituire il toner della stampante. Spero si poss risolvere in fretta.",Tecnico,Bassa
91,Domanda: come verificare errore contabile generato dal gestionale CRM?,"Ciao a tutti, come posso procedere per verificare errore contabile generato dal gestionale CRM? Potete farmi sapere le tempistiche???",Amministrazione,Bassa
92,Allarme: disdire l'abbonamento come richiesto dal cliente VIP,"Ciao, vi prego di disdire l'abbonamento come richiesto dal cliente VIP immediatamente, la situazione è grave. Vi ringrazio per la collaborazione. non riusciamo a lavorare.",Commerciale,Alta
93,Blocco totale: sincronizzazione tra il CRM e il database contabile,"Gentile supporto, la situazione è bloccante, vi chiedo di risolvere l'errore di sincronizzazione tra il CRM e il database contabile immediatamente. Spero di ricevere presto notizie da voi. il pagamento risulta bloccato.!!!",Tecnico,Alta
94,CRITICO: listino prezzi per il Q4,"Gentile supporto, siamo fermi. È bloccante poter aggiornare il listino prezzi per il Q4 per continuare a lavorare. Potete farmi sapere le tempistiche? la produzione e' ferma.",Commerciale,Alta
95,Task: nuovo access point Wi-Fi,Vi contatto per configurare il nuovo access point Wi-Fi. Spero di ricevere presto notizie da voi.,Tecnico,Media
96,Situazione seria: richiedere lo sblocco amministrativo per applicare lo sconto,"Per favore, la situazione è seria, vi chiedo di richiedere lo sblocco amministrativo per applicare lo sconto immediatamente. Vi ringrazio per la collaborazione. ci crea ritardo operativo.",Commerciale,Bassa
97,Task: trattativa in corso su Microsoft Dynamics CRM,"Scusate il disturbo, è necessario chiudere la trattativa in corso su Microsoft Dynamics CRM. In allegato trovate i dettagli.",Commerciale,Bassa
98,Richiesta: sincronizzazione dei contatti,"Per favore, ci sarebbe da risolvere il problema di sincronizzazione dei contatti per favore. Fatemi sapere se avete bisogno di altro.",Tecnico,Bassa
99,Emergenza: toner della stampante il prima possibile,"IL CLIENTE SI LAMENTA, È NECESSARIA RIUSCIRE A SOSTITUIRE IL TONER DELLA STAMPANTE ENTRO OGGI. GRAZIE IN ANTICIPO PER L'AIUTO. IMPATTA IL FLUSSO DEL TEAM.",Tecnico,Media
100,Situazione rilevante: listino prezzi per il prossimo anno,"Gentile supporto, è una situazione rilevante, per favore fate in modo di aggiornare il listino prezzi per il prossimo anno con urgenza. Grazie per la vostra attenzione. sta rallentando il lavoro.",Commerciale,Media
101,Info su come nuova campagna di acquisizione clienti,"Ciao, ho bisogno di supporto per pianificare la nuova campagna di acquisizione clienti. Grazie per il vostro supporto continuo.",Commerciale,Bassa
102,Blocco totale: centro di costo assegnato al nuovo server,"ciao, è assolutamente disastrosa verificare il centro di costo assegnato al nuovo server il prima possibile. grazie per la vostra attenzione.",Amministrazione,Alta
103,Situazione fondamentale: firmare il contratto con il nuovo cliente strategico,"Scusate il disturbo, è un'emergenza, dobbiamo firmare il contratto con il nuovo cliente strategico ora. Attendo un vostro riscontro.",Commerciale,Media
104,Domanda: come modello F24 al commercialista?,"Scusate il disturbo, avrei una richiesta: mi serve inviare il modello F24 al commercialista. Spero di ricevere presto notizie da voi.",Amministrazione,Bassa
105,Richiesta: scadenza del pagamento del fornitore,"Gentile supporto, mi serve una mano per verificare la scadenza del pagamento del fornitore. Vi auguro una buona giornata.",Amministrazione,Bassa
106,Assistenza per regolarità contributiva del dipendente,"Ciao, vorrei chiedervi di verificare la regolarità contributiva del dipendente. Per qualsiasi domanda, non esitate a contattarmi.",Tecnico,Bassa
107,Blocco operativo: modello F24 al commercialista,"Buongiorno, è assolutamente seria inviare il modello F24 al commercialista il prima possibile. Scrivo per segnalare quanto segue.",Amministrazione,Alta
108,Blocco totale: risolvere il problema tecnico nell'inserimeno del nuovo lead,"Buongiorno, è un blocco totale, serve risolvere il problema tecnico nell'inserimento del nuovo lead immediatamente. Fatemi sapere se avete bisogno di alto.",Commerciale,Bassa
109,CRITICO: preventivo urgente aggirando il blocco VPN!!!,"Vi prego di inviare il preventivo urgente aggirando il blocco VPN immediatamente, la situazione è urgente. Grazie per il vostro supporto continuo. l'ordine non parte.",Commerciale,Media
110,Allarme: risolvere il crash del gestionale CRM nell'inserimento lead,"Gentile supporto, ticket escalato: serve risolvere il crash del gestionale CRM nell'inserimento lead con massima urgenza. È una questione seria. Resto in attesa di una vostra risposta.",Tecnico,Alta
111,Assistenza per autorizzare la nota spese del trasfertista,"Gentile suporto, vorrei chiedervi di autorizzare la nota spese del trasfertista. Resto a disposizione per ulteriori informazioni.",Amministrazione,Bassa
112,Necessità di sistemare la stampante dell'amministrazione che inceppa i moduli F24,"Buonasera, apor questo ticket perché devo sistemare la stampante dell'amministrazione che inceppa i moduli F24. In allegato trovate i dettagli.",Tecnico,Bassa
113,Info su come trattativa in corso su Salesforce,"Ciao, avrei una richiesta: mi serve chiudere la trattativa in corso su Salesforce. Spero si possa risolvere in fretta.",Commerciale,Bassa
114,Problema disastrosa: contratto in scadenza,"Team, situazione critica: dobbiamo rinnovare il contratto in scadenza subito. Fatemi sapere se avete bisogno di altro. non riusciamo a lavorare.",Commerciale,Alta
115,Info su come certificato SSL scaduto,"Gentile supporto, apro questo ticket perché devo aggiornare il certificato SSL scaduto. In allegato trovate i dettagli.",Commerciale,Bassa
116,Blocco operativo: nota spese caricata dall'app mobile,"Buongiorno, è un'emergenza, dobbiamo approvare la nota spese caricata dall'app mobile ora. Spero di ricevere presto notizie da voi. il cliente e' fermo.",Amministrazione,Alta
117,Richiesta: sbloccare l'utenza aziendale bloccata,"Buonasera, mi serve una mano per sbloccare l'utenza aziendale bloccata. Spero si possa risolvere in fretta.... !!!",Tecnico,Media
118,Problema paralizzante: inserire il nuovo lead qualificato nel CRM,"Buonasera, situazione critica: dobbiamo inserire il nuovo lead qualificato nel CRM subito. Vi auguro una buona giornata. non possiamo chiudere la pratica.",Commerciale,Alta
119,Richiesta: regolarità fiscale dell'azienda,"Gentile supporto, ci sarebbe da verificare la regolarità fiscale dell'azienda per favore. Attendo un vostro riscontro.",Amministrazione,Bassa
120,Problema essenziale: chiedere l'emissione urgente della fattura proforma per il lead,"Ciao, siamo fermi. È essenziale poter chiedere l'emissione urgente della fattura proforma per il lead per continuare a lavorare. Fatemi sapere se avete bisogno di altro.",Commerciale,Alta
121,Domanda: come calcolare le provvigioni di fine anno?,"Salve, vi scrivo per chiedere di calcolare le provvigioni di fine anno. Attendo un vostro riscontro.... !!!",Commerciale,Bassa
122,Blocco operativo: budget trimestrale,"Per favore, siamo fermi. È necessaria poter approvare il budget trimestrale per continuare a lavorare. Potete farmi sapere le tempistiche? serve un riscontro in giornata.",Amministrazione,Media
123,CRITICO: serve registrare l'incasso del contratto chiuso ieri sul portale con massima urgenza,"È una situazione catastrofica, per favore fate in modo di registrare l'incasso del contratto chiuso ieri sul portale con urgenza. In allegato trovate i dettagli. il cliente e' fermo.",Amministrazione,Alta
124,Blocco operativo: nuovo access point Wi-Fi,"Buongiorno, situazione critica: dobbiamo configurare il nuovo access point Wi-Fi subito. Fatemi sapere se avete bisogno di altro. ci crea ritardo operativo.",Tecnico,Alta
125,Blocco operativo: tastiera guasta alla postazione 2,"Ciao, la situazione è necessaria, vi chiedo di sostituire la tastiera guasta alla postazione 2 immediatamente. Resto a disposizione per ulteriori informazioni. serve un riscontro in giornata. non e' critico, e' solo per evitare ritardi piu' avanti.",Tecnico,Media
126,Info su come cartuccia della stampante,"Buonasera, ho bisogno di supporto per sostituire la cartuccia della stampante. Grazie in anticipo per l'aiuto.",Tecnico,Media
127,Problema seria: regolarità contributiva dell'azienda,"BUONGIORNO, È UN BLOCCO TOTALE, SERVE VERIFICARE LA REGOLARITÀ CONTRIBUTIVA DELL'AZIENDA IMMEDIATAMENTE. VI RINGRAZIO PER LA COLLABORAZIONE. STA RALLENTANDO IL LAVORO.",Amministrazione,Alta
128,Richiesta: disdire l'abbonamento come richiesto dal cliente VIP,"GENTILE SUPPORTO, AVREI UNA RICHIESTA: MI SERVE DISDIRE L'ABBONAMENTO COME RICHIESTO DAL CLIENTE VIP. POTETE FARMI SAPERE LE TEMPISTICHE?",Commerciale,Bassa
129,Domanda: come ottimizzare le query lente sul DB?,"Per favore, come posso procedere per ottimizzare le query lente sul DB? Grazie in anticipo per l'aiuto.",Tecnico,Alta
130,Assistenza per firmare il contratto con il nuovo cliente,Vi contatto per firmare il contratto con il nuovo cliente. Grazie per la vostra attenzione.,Commerciale,Bassa
131,Task: nuova campagna di retention clienti,"Per favore, apro questo ticket perché devo pianificare la nuova campagna di retention clienti. Grazie per il vostro supporto continuo. non siamo fermi, pero' vorrei chiuderlo presto.",Commerciale,Bassa
132,Supporto per disdire l'abbonamento come richiesto dal cliente chiave,Potete darmi indicazioni su come disdire l'abbonamento come richiesto dal cliente chiave? Vi invio questa mail per un aggiornamento.,Commerciale,Media
133,Assistenza per firmare il contratto con il nuovo cliente strategico,"Salve, vi scrivo per chiedere di firmare il contratto con il nuovo cliente strategico. Resto in attesa di una vostra risposta.",Commerciale,Bassa
134,Domanda: come liquidare i rimborsi arretrati?,Vorrei chiedervi di liquidare i rimborsi arretrati. Grazie per il vostro supporto continuo. non blocca il lavoro ma preferirei una verifica rapida.,Amministrazione,Bassa
135,Necessità di sbloccare l'utenza aziendale bloccata,"Scusate il disturbo, ho bisogno di supporto per sbloccare l'utenza aziendale bloccata. Attendo un vostro riscontro.",Tecnico,Bassa
136,CRITICO: serve pagamento della fattura con massima urgenza,"Per favore, situazione critica: dobbiamo verificare il pagamento della fattura subito. Spero si possa risolvere in fretta.",Amministrazione,Alta
137,Info su come nuova campagna di acquisizion clienti,"Team, vorrei chiedervi di pianificare la nuova campagna di acquisizione clienti. Resto a disposizione per ulteriori informazioni.",Commerciale,Bassa
138,CRITICO: gestionale degli ordini fermo al login,"Per favore, ticket escalato: serve sbloccare il gestionale degli ordini fermo al login con massima urgenza. È una questione rilevante. Potete farmi sapere le tempistiche? rischiamo di andare fuori tempo. non blocca il lavoro ma preferirei una verifica rapida.",Tecnico,Media
